date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
07/01/2021,184731,6999,23423,345
06/01/2021,183838,7995,27518,377
05/01/2021,177505,11479,29471,280
04/01/2021,165147,14208,40825,327
03/01/2021,141238,16182,15573,393
02/01/2021,145788,17504,9073,160
01/01/2021,150352,20472,18779,253
31/12/2020,143834,22644,26318,1070
30/12/2020,133582,24008,21553,1327
29/12/2020,126408,24439,21479,1046
28/12/2020,115411,25140,34692,1066
27/12/2020,90895,25862,19840,1620
26/12/2020,82285,26552,4460,616
25/12/2020,87033,26944,5228,618
24/12/2020,91860,27525,13305,1138
23/12/2020,92948,28382,15078,7836
22/12/2020,89260,21961,10579,2056
21/12/2020,88070,21981,13108,1642
20/12/2020,83904,22374,13507,2657
19/12/2020,81813,21975,7116,1073
18/12/2020,81972,21874,19097,986
17/12/2020,68915,22092,21861,1860
16/12/2020,57186,22411,9582,1861
15/12/2020,55043,22375,7737,1766
14/12/2020,55394,22738,6546,1619
13/12/2020,57180,23690,6898,2446
12/12/2020,58300,23565,3861,1064
11/12/2020,59257,23784,3956,877
10/12/2020,60006,24159,5248,1912
09/12/2020,61060,24539,8840,1174
08/12/2020,57659,25004,8974,2170
07/12/2020,54738,24657,7606,1983
06/12/2020,51856,24704,8784,2514
05/12/2020,47204,24143,4218,1081
04/12/2020,46124,24198,5114,1226
03/12/2020,44054,24111,6428,2032
02/12/2020,42392,24227,6054,1750
01/12/2020,40420,23941,5936,1843
30/11/2020,38260,24102,5560,2190
29/11/2020,36289,23786,5380,2564
28/11/2020,33986,23341,3086,1035
27/11/2020,33087,23311,3910,1062
26/11/2020,31329,23167,5009,2176
25/11/2020,29805,23233,5121,2289
24/11/2020,27531,22603,3588,1255
23/11/2020,27504,23282,3809,1853
22/11/2020,26816,23329,4054,2491
21/11/2020,25164,23076,2235,994
20/11/2020,24691,23410,2423,1094
19/11/2020,24063,23305,3354,1888
18/11/2020,22930,23641,2911,1726
17/11/2020,22330,23790,3693,1763
16/11/2020,20748,24227,3275,2010
15/11/2020,19696,24563,2700,2218
14/11/2020,19353,24837,1759,985
13/11/2020,19264,25161,2090,836
12/11/2020,19066,25640,2741,2008
11/11/2020,18644,26513,2215,1724
10/11/2020,16642,24882,2813,1835
09/11/2020,18106,26827,1638,1961
08/11/2020,18863,27011,2080,2451
07/11/2020,19138,25776,826,1056
06/11/2020,19751,25940,1501,1123
05/11/2020,20153,26110,2102,1816
04/11/2020,20917,27159,2370,2006
03/11/2020,21503,27371,2098,2075
02/11/2020,22521,27646,2325,2254
01/11/2020,23190,28232,2059,2705
31/10/2020,24076,27387,969,1312
30/10/2020,24864,27092,1417,1347
29/10/2020,25728,26922,2433,2431
28/10/2020,26416,26691,2617,2025
27/10/2020,27105,25911,3005,1936
26/10/2020,27774,25791,3229,2216
25/10/2020,28960,25137,1727,1456
24/10/2020,31013,25337,1143,1258
23/10/2020,32822,25064,1715,1220
22/10/2020,34310,24663,2941,2282
21/10/2020,36351,23710,3263,2320
20/10/2020,38490,22493,3235,2242
19/10/2020,41611,21271,3214,2588
18/10/2020,44474,20012,3084,2849
17/10/2020,47696,18676,1541,1036
16/10/2020,50743,18994,2421,1129
15/10/2020,54146,18966,3340,1956
14/10/2020,60213,19348,4357,1444
13/10/2020,63820,19457,5036,1723
12/10/2020,66362,19264,5683,1708
11/10/2020,65003,17602,4900,1720
10/10/2020,65125,16798,2604,912
09/10/2020,66673,16789,4382,930
08/10/2020,67838,16938,7105,1341
07/10/2020,69992,17289,8058,1019
06/10/2020,69895,17411,8423,1072
05/10/2020,69610,17847,9060,1249
04/10/2020,67831,17755,8828,1549
03/10/2020,66067,16835,4200,1069
02/10/2020,66674,16052,6138,1152
01/10/2020,68405,15851,9197,2327
30/09/2020,71567,15067,9011,1506
29/09/2020,81131,15101,9932,1791
28/09/2020,85237,14577,2255,283
27/09/2020,104336,15896,7031,900
26/09/2020,109818,16207,6542,752
25/09/2020,113643,16204,8737,1071
24/09/2020,123358,16532,14847,1711
23/09/2020,123865,15689,15811,1160
22/09/2020,122790,15519,15190,1659
21/09/2020,121152,15234,18680,1269
20/09/2020,115709,15077,10122,630
19/09/2020,112200,15292,6917,297
18/09/2020,114728,16007,8453,821
17/09/2020,122903,17716,13377,1468
16/09/2020,122068,17921,13984,1182
15/09/2020,120667,18208,16009,1366
14/09/2020,111082,18934,14349,1449
13/09/2020,103135,18944,15706,1198
12/09/2020,92345,18759,7928,545
11/09/2020,89403,19168,9996,726
10/09/2020,85362,20556,12869,1200
09/09/2020,77914,20811,12907,983
08/09/2020,70343,21071,12278,949
07/09/2020,63329,22030,10160,1214
06/09/2020,58051,22272,10634,1416
05/09/2020,51328,21607,5213,759
04/09/2020,49957,21891,5242,925
03/09/2020,49418,23225,7725,1913
02/09/2020,46138,22526,6054,1690
01/09/2020,44036,21964,6568,1569
31/08/2020,41215,21736,6027,1859
30/08/2020,38866,20890,5837,2433
29/08/2020,35867,18949,3040,878
28/08/2020,35970,18799,3246,1024
27/08/2020,36798,19009,4327,1561
26/08/2020,35946,17979,4168,1191
25/08/2020,35293,17551,4871,1382
24/08/2020,33905,17008,4370,1846
23/08/2020,32550,15911,3860,1988
22/08/2020,31033,14293,2123,722
21/08/2020,31591,14102,3044,947
20/08/2020,32522,14324,3771,1714
19/08/2020,32306,13164,3743,1549
18/08/2020,32216,12195,3718,1357
17/08/2020,31935,11599,3981,1216
16/08/2020,31450,11100,3700,1258
15/08/2020,30380,10248,2044,485
14/08/2020,31427,10147,2176,647
13/08/2020,32285,9965,3738,1121
12/08/2020,32829,9168,3867,634
11/08/2020,32582,9165,4152,731
10/08/2020,32503,9005,3644,1004
09/08/2020,32738,8435,2412,668
08/08/2020,32313,8042,2318,317
07/08/2020,32806,8081,3709,544
06/08/2020,33838,8049,5079,968
05/08/2020,32863,7538,4919,589
04/08/2020,31994,7478,3775,772
03/08/2020,32317,7290,3326,702
02/08/2020,33122,7044,3402,726
